model,omega_rad_s,realG,imagG,gain_dB,phase_deg
cf_mean,0.334965439157828,-41.0711749421455,-19.8629888527292,33.1835132229012,-154.190494147236
cf_mean,0.354813389233575,-42.0140296206097,-19.0779921222536,33.2820594643093,-155.57785542484
cf_mean,0.375837404288444,-42.8910698677635,-18.2739136888678,33.3717558852827,-156.923374698563
cf_mean,0.398107170553497,-43.7035651666128,-17.4566955278833,33.4532232332883,-158.226545936841
cf_mean,0.421696503428582,-44.4533801212956,-16.6317106039095,33.5270659823197,-159.487253535609
cf_mean,0.446683592150963,-45.1428515484527,-15.8037278873861,33.5938670610005,-160.705736554193
cf_mean,0.47315125896148,-45.774672378367,-14.9768997879738,33.6541837212865,-161.882551542559
cf_mean,0.501187233627272,-46.3517854478398,-14.1547681161786,33.7085444643918,-163.018535264974
cf_mean,0.530884444230988,-46.8772890858598,-13.3402846297478,33.7574469164835,-164.114768374132
cf_mean,0.562341325190349,-47.354355387633,-12.5358424228872,33.8013565331442,-165.172540843781
cf_mean,0.59566214352901,-47.7861612688032,-11.7433147891284,33.8407060067514,-166.193319740226
cf_mean,0.630957344480193,-48.1758317904885,-10.9640986581855,33.8758952528235,-167.178719712384
cf_mean,0.668343917568615,-48.5263948305346,-10.1991602135422,33.9072918581448,-168.130476410408
cf_mean,0.707945784384138,-48.840745920645,-9.44908079664621,33.9352318834343,-169.050422905095
cf_mean,0.749894209332456,-49.1216219421324,-8.71410166587027,33.9600209250813,-169.940469072953
cf_mean,0.794328234724281,-49.3715823444187,-7.9941665865644,33.9819353529265,-170.802583831763
cf_mean,0.841395141645195,-49.5929965922406,-7.2889615748578,34.0012236534232,-171.638780055118
cf_mean,0.891250938133746,-49.788036636128,-6.59795140160398,34.0181078192028,-172.451101957481
cf_mean,0.944060876285923,-49.9586733170393,-5.92041268776755,34.0327847367402,-173.241614720031
cf_mean,1,-50.1066757455365,-5.25546359508817,34.045427533285,-174.012396118123
cf_mean,1.05925372517729,-50.2336128280469,-4.60209024372509,34.0561868524259,-174.76552991051
cf_mean,1.12201845430196,-50.3408562404979,-3.95917007974501,34.0651920346076,-175.503100755755
cf_mean,1.18850222743702,-50.4295842685678,-3.32549247732553,34.0725521847152,-176.227190430394
cf_mean,1.25892541179417,-50.5007860416853,-2.6997769002002,34.0783571135861,-176.939875134456
cf_mean,1.33352143216332,-50.5552657840323,-2.08068897001261,34.0826781441507,-177.643223681727
cf_mean,1.41253754462275,-50.5936467905238,-1.46685480071707,34.0855687759895,-178.339296383428
cf_mean,1.49623565609443,-50.6163749101874,-0.85687396183524,34.0870652045661,-179.030144444157
cf_mean,1.58489319246111,-50.6237213851448,-0.249331432221708,34.0871866934123,-179.717809697395
cf_mean,1.67880401812256,-50.6157849523958,0.357191097836103,34.0859357992385,179.595675485679
cf_mean,1.77827941003892,-50.5924931698718,0.964104223436179,34.0832984514538,178.908288276109
cf_mean,1.8836490894898,-50.5536029798484,1.57279977362395,34.0792438890545,178.218015615848
cf_mean,1.99526231496888,-50.4987005738738,2.18463937046218,34.0737244593895,177.522854755408
