mode,inputChannel,amplitude_deg,output,nonlinearRMS,linearAbsoluteRMSerror,linearRelativeRMSerror,differenceStepAbsoluteChange,differenceStepRelativeChange,primaryChannel
quasisteady,1,0.2,inertialAccelerationDown,0.143248455680534,0.000476733748028761,0.00332802015745253,2.06461919687836e-07,1.44128548337218e-06,1
quasisteady,1,0.2,specificForceBodyZ,0.143248455613963,0.000476733845020639,0.0033280208360876,2.06461798351572e-07,1.44128463700831e-06,0
quasisteady,1,0.2,thrustLeft,450.360313207616,1.00941993832291,0.00224136076985445,0.000104582098289826,2.32218726257111e-07,0
quasisteady,1,0.2,thrustRight,450.360313207618,1.00941994186398,0.00224136077771718,0.000104583898262413,2.3222272299602e-07,0
quasisteady,1,0.2,viLeft,0.0678100266372209,0.000561874389427489,0.00828600750200969,1.34696561689767e-07,1.98638119419101e-06,0
quasisteady,1,0.2,viRight,0.0678100266372204,0.000561874386948689,0.00828600746545468,1.34699999093257e-07,1.98643188586099e-06,0
quasisteady,1,0.2,FxAeroProp,0.362912467814416,0.370585776657739,1.02114369034917,2.75604318080572e-07,7.59423669680889e-07,0
quasisteady,1,0.2,FzAeroProp,859.49073368378,2.86040307021385,0.00332802083619233,0.00123877151837396,1.44128548432929e-06,0
quasisteady,1,0.2,My,0.0772256798923348,0.0705020569465846,0.912935399790278,4.44807891160021e-05,0.000575984428729091,0
quasisteady,1,0.2,hUp,0.211027904849733,0.000536800703791366,0.00254374275370647,1.53877927791458e-07,7.29182843856741e-07,0
quasisteady,1,0.1,q,6.63107382098774e-07,4.39341143705403e-07,0.662549016291844,7.28626296464227e-10,0.00109880588896188,0
quasisteady,1,0.1,theta,4.82506725510024e-07,2.50289763344899e-07,0.518728030330221,5.1440450592627e-10,0.00106610846798566,0
quasisteady,1,0.1,wBody,0.107118202566518,0.000150065357260856,0.00140093236877895,1.06119768598463e-07,9.9067913814708e-07,0
quasisteady,1,0.1,verticalVelocityUp,0.107118202571805,0.000150065351570867,0.00140093231559102,1.06119768598463e-07,9.90679138098182e-07,0
quasisteady,1,0.1,inertialAccelerationDown,0.0717380056564766,0.000118984324776406,0.00165859538033678,1.03230959843918e-07,1.43899957768896e-06,1
quasisteady,1,0.1,specificForceBodyZ,0.071738005651246,0.000118984332350743,0.00165859548604104,1.03230899175786e-07,1.43899873210363e-06,0
