law,b_variant,method,source_delay_included,omega_rad_s,model_shape_re,model_shape_im,source_shape_re,source_shape_im,normalized_complex_error,required_map_shape_re,required_map_shape_im
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4446777534504265,1.0091029815470642,-0.06296847712151611,1.0022254328810651,-0.03544772702412232,0.02828642392038334,0.9915157135064774,0.026743065862376868
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.454306642001288,1.0091798311503575,-0.06392330532840625,1.0022405408921635,-0.036000149898512475,0.028689669189983488,0.9914056984878927,0.027124778384688648
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4639997078363256,1.0092544186778205,-0.06487220743615325,1.0022549865573482,-0.03654991572409278,0.029089400472911413,0.9912969179984814,0.02750317765017888
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.473757378702083,1.0093267804684585,-0.06581521277455421,1.0022687793192646,-0.037097047035691375,0.029485632429210522,0.9911893590349615,0.027878276960023613
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.483580085196068,1.0093969523899724,-0.06675235069349097,1.0022819284772002,-0.03764156629078216,0.02987837963475235,0.9910830087461343,0.028250089529082728
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.4934682607857541,1.0094649698435387,-0.06768365055862084,1.002294443188847,-0.03818349586964633,0.030267656580449658,0.9909778544311666,0.02861862848542658
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.50342234182771,1.0095308677685728,-0.0686091417471683,1.0023063324720412,-0.03872285807554698,0.030653477671495295,0.9908738835378872,0.02898390686987762
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.513442767586853,1.009594680647472,-0.0695288536438151,1.0023176052064842,-0.039259675134916516,0.03103585722662215,0.9907710836611023,0.029345937635566463
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.5235299802558355,1.0096564425103403,-0.07044281563668794,1.0023282701354403,-0.03979396919755672,0.03141480947738805,0.9906694425409251,0.02970473364750201
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.5336844249745574,1.0097161869396876,-0.07135105711344115,1.0023383358674163,-0.04032576233685122,0.031790348567479094,0.9905689480611276,0.030060307682155264
