check,passed,value
CF_TN3044/central_no_unknown_root/FULL_2/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/central_no_unknown_root/PHYSICAL_QS_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/BT_V_KINEMATIC_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/BT_V_KINEMATIC_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/BT_V_KINEMATIC_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/BT_V_KINEMATIC_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/FULL_2/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/FULL_2/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/FULL_2/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/FULL_2/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/PHYSICAL_QS_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/PHYSICAL_QS_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/left_secant/PHYSICAL_QS_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/left_secant/PHYSICAL_QS_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/BT_V_KINEMATIC_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/right_secant/BT_V_KINEMATIC_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/BT_V_KINEMATIC_1/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/right_secant/BT_V_KINEMATIC_1/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/FULL_2/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/right_secant/FULL_2/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/FULL_2/True/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/right_secant/FULL_2/True/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/PHYSICAL_QS_1/False/normalized_complex_max/grid_consistency,True,0.0
CF_TN3044/right_secant/PHYSICAL_QS_1/False/any_constant_gain_amplitude_lower_bound/grid_consistency,True,0.0
CF_TN3044/right_secant/PHYSICAL_QS_1/True/normalized_complex_max/grid_consistency,True,0.0
