time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
1.915,-0.271016891156224,-0.165210345662422,29915.5480594716,29915.5480594716,29915.5810369873,29915.5810369873,16.2747619015895,16.2747619015895,0.0343341261956142,0.0343341261956142,-9.68047518705067e-05,-9.68047518705067e-05
1.92,-0.271842541518167,-0.165049618926156,29915.0670717441,29915.0670717441,29915.0988567785,29915.0988567785,16.2742169204766,16.2742169204766,0.0343336405707254,0.0343336405707254,-9.74413071717038e-05,-9.74413071717038e-05
1.925,-0.272667385612823,-0.164887855927867,29914.5860443366,29914.5860443366,29914.6135677836,29914.6135677836,16.2736726282925,16.2736726282925,0.0343331518729078,0.0343331518729078,-9.80239393483303e-05,-9.80239393483303e-05
1.93,-0.273491418595205,-0.164725206269561,29914.1048457649,29914.1048457649,29914.1256188087,29914.1256188087,16.2731289642634,16.2731289642634,0.0343326605127816,0.0343326605127816,-9.84981358252871e-05,-9.84981358252871e-05
1.935,-0.274314636576231,-0.164561898885099,29913.6234080618,29913.6234080618,29913.6356966553,29913.6356966553,16.2725858639942,16.2725858639942,0.0343321671421198,0.0343321671421198,-9.88225153664533e-05,-9.88225153664533e-05
1.94,-0.275137036958034,-0.164398216794632,29913.141728207,29913.141728207,29913.1446503839,29913.1446503839,16.2720432652269,16.2720432652269,0.0343316725809137,0.0343316725809137,-9.89714880727794e-05,-9.89714880727794e-05
1.945,-0.275958618634649,-0.164234468941763,29912.6598638574,29912.6598638574,29912.6534068253,29912.6534068253,16.2715011130169,16.2715011130169,0.0343311777349791,0.0343311777349791,-9.8936369435448e-05,-9.8936369435448e-05
1.95,-0.27677938205009,-0.16407096174402,29912.1779241406,29912.1779241406,29912.1628852321,29912.1628852321,16.2709593639195,16.2709593639195,0.0343306835118616,0.0343306835118616,-9.8724959349137e-05,-9.8724959349137e-05
1.955,-0.277599329118678,-0.16390797283009,29911.6960566459,29911.6960566459,29911.6739184903,29911.6739184903,16.2704179888956,16.2704179888956,0.0343301907424142,0.0343301907424142,-9.83597286230131e-05,-9.83597286230131e-05
1.96,-0.278418463024019,-0.163745729077356,29911.2144319994,29911.2144319994,29911.1871872321,29911.1871872321,16.2698769747734,16.2698769747734,0.0343297001144151,0.0343297001144151,-9.78748657510079e-05,-9.78748657510079e-05
