theta0_deg,memory,time_s,V4_CT,OFF_CT,V4_non_eq_CT,OFF_non_eq_CT
7,PP,0.608,0.0101039999414934,0.0101039999241794,-5.85066214225938e-11,-7.58205616346874e-11
7,PP,0.61,0.0101039999467707,0.0101039999309076,-5.32292942362345e-11,-6.9092391530301e-11
7,PP,0.612,0.0101039999515645,0.0101039999370242,-4.84355194840802e-11,-6.29757669623476e-11
7,PP,0.614,0.0101039999559297,0.0101039999425862,-4.40703307180712e-11,-5.74138132869439e-11
7,PP,0.616,0.0101039999599187,0.0101039999476488,-4.00812646961235e-11,-5.23512119071645e-11
7,PP,0.618,0.0101039999635601,0.0101039999522659,-3.64398528712728e-11,-4.77341326188263e-11
7,PP,0.62,0.0101039999668756,0.0101039999564896,-3.31243765056e-11,-4.35104331036884e-11
7,PP,0.622,0.0101039999698896,0.010103999960354,-3.01103655897528e-11,-3.96459618606793e-11
7,PP,0.624,0.0101039999726261,0.0101039999638808,-2.73738722661454e-11,-3.61192430131663e-11
7,PP,0.626,0.0101039999751085,0.0101039999670946,-2.4891524605386e-11,-3.29053867487161e-11
7,PP,0.628,0.0101039999773596,0.0101039999700199,-2.26404277270387e-11,-2.99801138775591e-11
7,PP,0.63,0.0101039999794017,0.0101039999726803,-2.05982505357971e-11,-2.73197402200775e-11
7,PP,0.632,0.0101039999812568,0.0101039999750988,-1.87431858228448e-11,-2.49011731373594e-11
7,PP,0.634,0.010103999982946,0.0101039999772981,-1.7053990164495e-11,-2.27019358173264e-11
7,PP,0.636,0.0101039999844897,0.0101039999792999,-1.55103326016093e-11,-2.07001308455412e-11
7,PP,0.638,0.0101039999858988,0.0101039999811255,-1.4101201109562e-11,-1.88744905121885e-11
7,PP,0.64,0.0101039999871818,0.0101039999827956,-1.28182048309e-11,-1.720440456765e-11
7,PP,0.642,0.0101039999883481,0.0101039999843236,-1.16518739101679e-11,-1.5676366454942e-11
7,PP,0.644,0.0101039999894071,0.0101039999857181,-1.05929206378752e-11,-1.42818673554146e-11
7,PP,0.646,0.0101039999903677,0.0101039999869889,-9.6323279213939e-12,-1.30110869994704e-11
7,PP,0.648,0.0101039999912388,0.0101039999881456,-8.76120877235653e-12,-1.18544063454351e-11
7,PP,0.65,0.0101039999920291,0.0101039999891975,-7.97094161508749e-12,-1.08024613559854e-11
7,PP,0.652,0.0101039999927469,0.0101039999901539,-7.25308875459962e-12,-9.84614126342542e-12
