source,theta_report_deg,offset_deg,memory,omega_rad_s,G_real_CT_per_rad,G_imag_CT_per_rad,static_slope_CT_per_rad
OFF,7,-1,PP,35.4813389233575,0.0619500269193228,0.0117301805705222,0.0530805398248293
OFF,7,-1,PP,37.5837404288444,0.0626093323794655,0.0118971808591171,0.0530805398248293
OFF,7,-1,PP,39.8107170553497,0.0632854084831437,0.0120285592263167,0.0530805398248293
OFF,7,-1,PP,42.1696503428582,0.0639742740705123,0.0121222425048891,0.0530805398248293
OFF,7,-1,PP,44.6683592150963,0.0646716246300541,0.0121767187398544,0.0530805398248293
OFF,7,-1,PP,47.315125896148,0.0653729360791529,0.0121910957711394,0.0530805398248293
OFF,7,-1,PP,50.1187233627273,0.0660735804582502,0.0121651365479479,0.0530805398248293
OFF,7,-1,PP,53.0884444230988,0.0667689473635703,0.0120992686043684,0.0530805398248293
OFF,7,-1,PP,56.2341325190349,0.0674545644054293,0.0119945669976582,0.0530805398248293
OFF,7,-1,PP,59.566214352901,0.0681262100710254,0.0118527119643506,0.0530805398248293
OFF,7,-1,PP,63.0957344480193,0.0687800130792855,0.0116759243564649,0.0530805398248293
OFF,7,-1,PP,66.8343917568615,0.0694125335412555,0.0114668833770581,0.0530805398248293
OFF,7,-1,PP,70.7945784384138,0.0700208228161173,0.0112286320951806,0.0530805398248293
OFF,7,-1,PP,74.9894209332456,0.0706024606780523,0.0109644766168285,0.0530805398248293
OFF,7,-1,PP,79.4328234724281,0.0711555700805067,0.0106778846340668,0.0530805398248293
OFF,7,-1,PP,84.1395141645195,0.0716788112510102,0.0103723884524256,0.0530805398248293
OFF,7,-1,PP,89.1250938133746,0.0721713579534849,0.0100514966374951,0.0530805398248293
OFF,7,-1,PP,94.4060876285924,0.0726328594595201,0.00971861727614108,0.0530805398248293
OFF,7,-1,PP,100,0.0730633920771373,0.00937699466138097,0.0530805398248293
OFF,7,-1,CF,0.1,0.0530808104879439,8.12373842274424e-05,0.0530805398248293
OFF,7,-1,CF,0.105925372517729,0.0530808435134274,8.60508853138797e-05,0.0530805398248293
OFF,7,-1,CF,0.112201845430196,0.0530808805685229,9.11495823007883e-05,0.0530805398248293
OFF,7,-1,CF,0.118850222743702,0.0530809221448898,9.6550369966407e-05,0.0530805398248293
OFF,7,-1,CF,0.125892541179417,0.0530809687941719,0.000102271143386927,0.0530805398248293
OFF,7,-1,CF,0.133352143216332,0.0530810211353148,0.000108330857060742,0.0530805398248293
OFF,7,-1,CF,0.141253754462275,0.0530810798627756,0.000114749587508304,0.0530805398248293
OFF,7,-1,CF,0.149623565609443,0.0530811457557335,0.000121548599548296,0.0530805398248293
OFF,7,-1,CF,0.158489319246111,0.0530812196884244,0.000128750416461752,0.0530805398248293
OFF,7,-1,CF,0.167880401812256,0.0530813026417341,0.000136378894267116,0.0530805398248293
OFF,7,-1,CF,0.177827941003892,0.0530813957162066,0.000144459300341068,0.0530805398248293
OFF,7,-1,CF,0.18836490894898,0.0530815001466364,0.000153018396632179,0.0530805398248293
OFF,7,-1,CF,0.199526231496888,0.0530816173184408,0.000162084527727181,0.0530805398248293
OFF,7,-1,CF,0.211348903983665,0.053081748786027,0.000171687714042642,0.0530805398248293
OFF,7,-1,CF,0.223872113856834,0.0530818962933971,0.000181859750428275,0.0530805398248293
OFF,7,-1,CF,0.237137370566166,0.0530820617972638,0.000192634310481763,0.0530805398248293
OFF,7,-1,CF,0.251188643150958,0.0530822474929816,0.00020404705688882,0.0530805398248293
OFF,7,-1,CF,0.266072505979881,0.0530824558436366,0.000216135758116188,0.0530805398248293
OFF,7,-1,CF,0.281838293126445,0.0530826896126772,0.000228940411799129,0.0530805398248293
OFF,7,-1,CF,0.298538261891796,0.0530829519005183,0.000242503375178676,0.0530805398248293
OFF,7,-1,CF,0.316227766016838,0.0530832461855981,0.000256869502957168,0.0530805398248293
OFF,7,-1,CF,0.334965439157828,0.0530835763704311,0.000272086292953149,0.0530805398248293
OFF,7,-1,CF,0.354813389233576,0.0530839468332603,0.000288204039948345,0.0530805398248293
OFF,7,-1,CF,0.375837404288444,0.0530843624859885,0.000305275998129624,0.0530805398248293
OFF,7,-1,CF,0.398107170553497,0.0530848288391478,0.000323358552537217,0.0530805398248293
OFF,7,-1,CF,0.421696503428582,0.0530853520747589,0.000342511399936481,0.0530805398248293
OFF,7,-1,CF,0.446683592150963,0.0530859391280329,0.000362797739533322,0.0530805398248293
OFF,7,-1,CF,0.473151258961481,0.0530865977789819,0.000384284473952404,0.0530805398248293
OFF,7,-1,CF,0.501187233627272,0.0530873367551319,0.000407042420891297,0.0530805398248293
OFF,7,-1,CF,0.530884444230988,0.053088165846674,0.0004311465358517,0.0530805398248293
OFF,7,-1,CF,0.562341325190349,0.0530890960355462,0.00045667614632932,0.0530805398248293
OFF,7,-1,CF,0.59566214352901,0.0530901396401143,0.000483715197815198,0.0530805398248293
OFF,7,-1,CF,0.630957344480193,0.0530913104773175,0.000512352511921247,0.0530805398248293
OFF,7,-1,CF,0.668343917568615,0.0530926240443597,0.00054268205688906,0.0530805398248293
OFF,7,-1,CF,0.707945784384138,0.053094097722271,0.000574803230670747,0.0530805398248293
OFF,7,-1,CF,0.749894209332456,0.0530957510039285,0.000608821156680349,0.0530805398248293
