case_id,method,nonequilibrium_relative_RMSE,delta_CT_relative_RMSE,nonequilibrium_peak_relative_difference,single_run_seconds
66,LTI_EXACT,0.181902984256571,0.00910549290040404,0.033701773635404,0.0006547
66,SCHEDULED_EXACT,0.000238411450191338,1.19341294809672e-05,-9.8490563214363e-05,0.0007896
66,QS,1,0.0500568637596452,-1,0.0004613
67,DIRECT,0,0,0,0.5609692
67,LUT,0.000219032491931843,3.65032231494083e-05,7.40110763924724e-05,0.0053198
67,LTI_EXACT,0.178490406967751,0.0297466147515682,0.111568172078421,0.0004481
67,SCHEDULED_EXACT,0.000854197434280144,0.000142357689866775,0.000723839429576722,0.0012905
67,QS,1,0.166656658231178,-1,0.0003902
68,DIRECT,0,0,0,0.5099613
68,LUT,0.00022038862338767,4.27466016969941e-05,-0.000114304041709919,0.0050127
68,LTI_EXACT,0.155400541113615,0.0301415060921548,0.112340758525646,0.0003796
68,SCHEDULED_EXACT,0.000817794326061976,0.000158619477670319,0.00141938442193861,0.0005613
68,QS,1,0.193960110281199,-1,0.0003496
69,DIRECT,0,0,0,0.721533
69,LUT,0.000221071854520858,1.77093942021069e-05,7.79000877942015e-05,0.0063743
69,LTI_EXACT,0.359768357334694,0.0288199494019417,0.105026649899525,0.0003716
69,SCHEDULED_EXACT,0.000856292165069495,6.85949621956987e-05,-0.00115916524682483,0.0005961
69,QS,1,0.0801069599768342,-1,0.0003592
70,DIRECT,0,0,0,0.6431543
70,LUT,0.000224443360499105,2.18653922683896e-05,7.78997797133656e-05,0.0065583
70,LTI_EXACT,0.297320193365472,0.0289650923190282,0.105026730391738,0.0004744
70,SCHEDULED_EXACT,0.000832924772003714,8.11439769455456e-05,-0.0011591651385801,0.0009203
70,QS,1,0.0974205350506537,-1,0.0003736
71,DIRECT,0,0,0,1.4860328
71,LUT,0.000221071854522187,8.98146574513681e-06,7.79000879550054e-05,0.0152063
71,LTI_EXACT,0.704109368287944,0.0286057860498628,0.105026649891822,0.0011788
71,SCHEDULED_EXACT,0.000856292165116524,3.47885024325936e-05,-0.00115916524688129,0.0010153
71,QS,1,0.0406269073218247,-1,0.0006279
72,DIRECT,0,0,0,1.6714936
