time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
1.91,-0.164624887369488,-0.164624887369489,29913.8211165919,29913.8211165919
1.915,-0.16446497584253,-0.164464975842528,29913.3421606668,29913.3421606668
1.92,-0.164304974564518,-0.164304974564518,29912.8635245722,29912.8635245722
1.925,-0.164144930248045,-0.164144930248043,29912.3851815943,29912.3851815943
1.93,-0.163984902825815,-0.163984902825813,29911.9071211935,29911.9071211935
1.935,-0.16382495915155,-0.16382495915155,29911.4293485939,29911.4293485939
1.94,-0.163665166601161,-0.163665166601157,29910.9518830302,29910.9518830302
1.945,-0.163505587140464,-0.163505587140464,29910.4747549122,29910.4747549122
1.95,-0.163346272339764,-0.163346272339758,29909.9980022423,29909.9980022423
1.955,-0.163187259694416,-0.163187259694413,29909.5216666561,29909.5216666561
1.96,-0.163028570467961,-0.163028570467958,29909.0457894634,29909.0457894634
1.965,-0.162870209124117,-0.162870209124116,29908.5704080348,29908.5704080348
1.97,-0.162712164270035,-0.162712164270033,29908.0955528205,29908.0955528206
1.975,-0.1625544109076,-0.1625544109076,29907.6212452126,29907.6212452126
1.98,-0.16239691369161,-0.162396913691609,29907.1474963671,29907.1474963671
1.985,-0.162239630830006,-0.162239630830007,29906.6743070154,29906.6743070154
1.99,-0.162082518234453,-0.16208251823446,29906.2016681986,29906.2016681986
1.995,-0.161925533539103,-0.161925533539106,29905.7295627896,29905.7295627896
2,-0.161768639647399,-0.161768639647401,29905.2579676059,29905.2579676059
2.005,-0.161611807535303,-0.161611807535303,29904.7868558811,29904.7868558811
2.01,-0.161455018125814,-0.161455018125814,29904.3161998523,29904.3161998523
2.015,-0.161298263145563,-0.161298263145564,29903.8459732265,29903.8459732265
2.02,-0.161141544970241,-0.161141544970241,29903.3761533217,29903.3761533217
2.025,-0.16098487555324,-0.160984875553238,29902.906722722,29902.906722722
2.03,-0.160828274604368,-0.160828274604368,29902.4376703401,29902.4376703401
2.035,-0.160671767237606,-0.160671767237609,29901.968991843,29901.968991843
2.04,-0.160515381335607,-0.160515381335611,29901.5006894547,29901.5006894547
2.045,-0.160359144883543,-0.160359144883549,29901.0327712017,29901.0327712017
2.05,-0.16020308350746,-0.160203083507465,29900.5652497137,29900.5652497137
2.055,-0.160047218415453,-0.160047218415453,29900.0981407178,29900.0981407178
2.06,-0.159891564889159,-0.159891564889161,29899.6314613836,29899.6314613836
2.065,-0.159736131413077,-0.159736131413077,29899.1652286747,29899.1652286747
2.07,-0.159580919466652,-0.159580919466652,29898.6994578499,29898.6994578498
2.075,-0.159425923944233,-0.159425923944232,29898.2341612336,29898.2341612336
2.08,-0.159271134115988,-0.159271134115985,29897.7693473405,29897.7693473405
2.085,-0.159116535002648,-0.159116535002644,29897.3050204025,29897.3050204025
2.09,-0.158962109011002,-0.158962109010998,29896.8411803075,29896.8411803075
2.095,-0.158807837666574,-0.158807837666567,29896.377822922,29896.377822922
2.1,-0.158653703284507,-0.158653703284501,29895.9149407388,29895.9149407388
2.105,-0.158499690437849,-0.158499690437844,29895.4525237674,29895.4525237674
2.11,-0.158345787111272,-0.158345787111264,29894.9905605695,29894.9905605695
2.115,-0.158191985464815,-0.158191985464814,29894.5290393382,29894.5290393382
2.12,-0.158038282172185,-0.158038282172187,29894.0679489231,29894.067948923
2.125,-0.157884678338132,-0.157884678338136,29893.6072797157,29893.6072797157
2.13,-0.157731179035836,-0.157731179035842,29893.1470243302,29893.1470243302
