time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
1.095,-0.196331308738026,-0.196331308738026,30004.6139598213,30004.6139598213
1.1,-0.194725792294038,-0.194725792294037,30003.7993924064,30003.7993924064
1.105,-0.193123111753253,-0.193123111753256,30002.7454299065,30002.7454299065
1.11,-0.191645055838056,-0.19164505583806,30001.5108755794,30001.5108755794
1.115,-0.190394261695688,-0.190394261695691,30000.1660836478,30000.1660836478
1.12,-0.189446691105908,-0.189446691105912,29998.7860954213,29998.7860954213
1.125,-0.188846924108954,-0.188846924108951,29997.4438448359,29997.4438448359
1.13,-0.188606484529762,-0.18860648452976,29996.20401586,29996.20401586
1.135,-0.188705131496987,-0.188705131496989,29995.1180359313,29995.1180359313
1.14,-0.189094800629308,-0.189094800629308,29994.2205584121,29994.2205584121
1.145,-0.189705672081935,-0.189705672081935,29993.5276343786,29993.5276343786
1.15,-0.190453694550787,-0.19045369455079,29993.0366146572,29993.0366146572
1.155,-0.191248816604315,-0.19124881660432,29992.7276703243,29992.7276703243
1.16,-0.192003165711174,-0.192003165711178,29992.5666896104,29992.5666896104
1.165,-0.192638478032891,-0.1926384780329,29992.5092075712,29992.5092075712
1.17,-0.193092177760458,-0.193092177760463,29992.5049536296,29992.5049536296
1.175,-0.193321690959081,-0.193321690959087,29992.5025881089,29992.5025881089
1.18,-0.193306733272001,-0.193306733272003,29992.4542027749,29992.4542027749
1.185,-0.193049517864373,-0.193049517864371,29992.3192144967,29992.3192144967
1.19,-0.192573009109006,-0.192573009109002,29992.0673582091,29992.0673582091
1.195,-0.191917507666578,-0.191917507666575,29991.6805832417,29991.6805832417
1.2,-0.191135977474759,-0.191135977474753,29991.1537654547,29991.1537654547
1.205,-0.190288601200094,-0.190288601200086,29990.4942550862,29990.4942550862
1.21,-0.189437095732923,-0.189437095732914,29989.7203814126,29989.7203814126
1.215,-0.188639279186875,-0.188639279186868,29988.85911152,29988.85911152
1.22,-0.187944359205478,-0.187944359205471,29987.9431294535,29987.9431294535
1.225,-0.187389283048336,-0.187389283048332,29987.007621617,29987.007621617
1.23,-0.186996400205653,-0.186996400205648,29986.0870704122,29986.0870704122
1.235,-0.186772544298918,-0.186772544298918,29985.2123295957,29985.2123295957
1.24,-0.186709516570952,-0.186709516570955,29984.4082147997,29984.4082147997
1.245,-0.186785832077312,-0.186785832077318,29983.691781291,29983.691781291
1.25,-0.186969491495889,-0.186969491495898,29983.0713898467,29983.0713898468
1.255,-0.187221466329968,-0.187221466329977,29982.5465871406,29982.5465871407
1.26,-0.187499551478184,-0.187499551478196,29982.1087539948,29982.1087539948
1.265,-0.187762223598399,-0.187762223598407,29981.742412826,29981.742412826
1.27,-0.187972173716021,-0.18797217371603,29981.4270364388,29981.4270364388
1.275,-0.188099234884214,-0.18809923488422,29981.1391675811,29981.1391675811
1.28,-0.188122487558363,-0.188122487558369,29980.8546431131,29980.8546431131
1.285,-0.188031425091717,-0.188031425091722,29980.5507266479,29980.550726648
1.29,-0.187826139533941,-0.187826139533941,29980.2079706061,29980.2079706061
1.295,-0.187516580531095,-0.187516580531095,29979.8116653659,29979.8116653659
1.3,-0.187121016359021,-0.187121016359021,29979.35278001,29979.35278001
1.305,-0.18666388201405,-0.18666388201405,29978.8283486116,29978.8283486116
1.31,-0.186173247262307,-0.186173247262308,29978.2413062091,29978.2413062091
1.315,-0.185678147296085,-0.185678147296078,29977.5998288675,29977.5998288675
1.32,-0.185206003292717,-0.185206003292709,29976.9162639855,29976.9162639855
1.325,-0.184780379484183,-0.184780379484176,29976.2057790754,29976.2057790754
1.33,-0.184419213438329,-0.184419213438325,29975.4848584978,29975.4848584978
1.335,-0.184133658301165,-0.184133658301159,29974.7697903387,29974.7697903387
1.34,-0.183927591098974,-0.183927591098968,29974.0752762168,29974.0752762168
1.345,-0.183797781005445,-0.183797781005442,29973.4132729473,29973.4132729473
1.35,-0.183734659943023,-0.183734659943019,29972.7921512804,29972.7921512804
1.355,-0.183723585200945,-0.183723585200948,29972.2162222695,29972.2162222695
1.36,-0.183746453562652,-0.18374645356266,29971.6856460413,29971.6856460413
1.365,-0.183783501709784,-0.183783501709791,29971.1967050539,29971.1967050539
1.37,-0.183815124568784,-0.183815124568796,29970.742392583,29970.742392583
1.375,-0.183823555715815,-0.183823555715828,29970.3132445023,29970.3132445023
1.38,-0.183794271540127,-0.183794271540143,29969.8983250003,29969.8983250004
1.385,-0.183717019783517,-0.183717019783529,29969.4862714293,29969.4862714294
1.39,-0.183586408164496,-0.183586408164506,29969.0663036417,29969.0663036417
1.395,-0.183402032995158,-0.183402032995169,29968.6291126911,29968.6291126911
1.4,-0.183168169098926,-0.18316816909893,29968.167562534,29968.167562534
1.405,-0.182893077960609,-0.182893077960611,29967.6771542983,29967.6771542983
1.41,-0.182588018982487,-0.182588018982486,29967.1562323859,29967.1562323859
1.415,-0.182266071510037,-0.182266071510031,29966.6059302628,29966.6059302628
1.42,-0.181940881525478,-0.181940881525471,29966.0298799811,29966.0298799812
1.425,-0.18162544497789,-0.181625444977881,29965.4337260685,29965.4337260685
1.43,-0.181331032461528,-0.181331032461519,29964.824499576,29964.824499576
1.435,-0.181066336820724,-0.181066336820715,29964.2099160937,29964.2099160937
