origin_index,origin_time_s,requested_horizon_s,target_time_s,initial_observed_g,target_observed_g,source_known_g,hold_current_g,source_future_command_held_g,prefix_fit_known_g
12,19.160269599633608,2.0,21.23722580336453,-0.0028771421345128,-0.061266243309568,-0.06014345751992575,-0.0028771421345128,-0.0023133971818219477,-0.07309915560577653
12,19.160269599633608,5.0,24.17250548564164,-0.0028771421345128,-0.0427880047302979,-0.03610325053974175,-0.0028771421345128,-0.0016998036069105099,-0.04582325578445165
13,19.2520387446938,0.5,19.79855220075056,-0.0022086116029012,-0.0071658543587782,-0.011086011327427576,-0.0022086116029012,-0.0020854406403945295,-0.013045479212210895
13,19.2520387446938,2.0,21.325201140193187,-0.0022086116029012,-0.0688935067775873,-0.06134410120568963,-0.0022086116029012,-0.0017765655471668647,-0.07471490758300087
13,19.2520387446938,5.0,24.26724815607249,-0.0022086116029012,-0.0356173653881646,-0.032038994771626784,-0.0022086116029012,-0.001304431215968423,-0.040963700517695135
14,19.344730707972467,0.5,19.88909092151944,0.0004778147664585,-0.0091878516108303,-0.009316563300183186,0.0004778147664585,0.0004512697685440168,-0.011431309077994707
14,19.344730707972467,2.0,21.41563732560445,0.0004778147664585,-0.0711397146782784,-0.05943323471966141,0.0004778147664585,0.00038443623816202297,-0.07286270293700449
14,19.344730707972467,5.0,24.361478149715296,0.0004778147664585,-0.0295677792892248,-0.02878456503290927,0.0004778147664585,0.00028215728343499385,-0.03725878533594502
15,19.43578210552939,0.5,19.979937248361143,-0.0004231292424003,-0.0105372169169668,-0.010741347291657134,-0.0004231292424003,-0.00039963090354036204,-0.012983408891426096
15,19.43578210552939,2.0,21.50894450102878,-0.0004231292424003,-0.0671080244170865,-0.05877909455300454,-0.0004231292424003,-0.0003403571877734164,-0.0719620105630678
15,19.43578210552939,5.0,24.453247294775487,-0.0004231292424003,-0.0288992487576134,-0.027897303800479226,-0.0004231292424003,-0.0002498457743995076,-0.036044620078015135
16,19.525603078795008,0.5,20.070373433772417,-0.0040146010349235,-0.0127834248176579,-0.015477078501798629,-0.0040146010349235,-0.0037914066066212677,-0.01802249040898255
16,19.525603078795008,2.0,21.599995898585703,-0.0040146010349235,-0.0680089684259455,-0.059374338170618025,-0.0040146010349235,-0.0032288522313298103,-0.07214851545027084
16,19.525603078795008,5.0,24.54552911662372,-0.0040146010349235,-0.0271096649828084,-0.028478792908314135,-0.0040146010349235,-0.0023698952120687696,-0.036338573347148816
17,19.61706461778237,0.5,20.161834972759777,-0.0040187024492279,-0.0127875262319623,-0.018068490715163903,-0.0040187024492279,-0.003795280000055614,-0.021165425762368725
17,19.61706461778237,2.0,21.69155997293067,-0.0040187024492279,-0.0677888591916113,-0.05716994248877799,-0.0040187024492279,-0.0032321161076614043,-0.06948909661335545
17,19.61706461778237,5.0,24.637913473829563,-0.0040187024492279,-0.0250958705593646,-0.027039878885250567,-0.0040187024492279,-0.002372086498179326,-0.034519972866679766
18,19.70842362141212,0.5,20.25319397638953,-0.0042470145121711,-0.0130158382949054,-0.020238875645528117,-0.0042470145121711,-0.004010898901232596,-0.02376040726738324
18,19.70842362141212,2.0,21.78517475442782,-0.0042470145121711,-0.0630845369845036,-0.05555281810302876,-0.0042470145121711,-0.003414931380964868,-0.06751817135206821
18,19.70842362141212,5.0,24.72947754817453,-0.0042470145121711,-0.0248757613250303,-0.02574712043888027,-0.0042470145121711,-0.0025067964069745057,-0.032877607351585264
19,19.79855220075056,0.5,20.3413743839334,-0.0071658543587782,-0.0201946804656474,-0.023873573620612147,-0.0071658543587782,-0.006768848376057672,-0.027611308964472336
19,19.79855220075056,2.0,21.8768413641304,-0.0071658543587782,-0.0626402171015305,-0.056605864550145754,-0.0071658543587782,-0.005760976160164601,-0.06838712680873783
19,19.79855220075056,5.0,24.820528945731454,-0.0071658543587782,-0.0257767053338893,-0.02530819326449952,-0.0071658543587782,-0.004229229125143533,-0.03204914493157247
20,19.88909092151944,0.5,20.434373953284897,-0.0091878516108303,-0.0168356221503716,-0.025592858657489788,-0.0091878516108303,-0.008676579776354242,-0.029314308655414623
20,19.88909092151944,2.0,21.967482620256888,-0.0091878516108303,-0.0644380037049443,-0.05676101720509544,-0.0091878516108303,-0.007386477812658601,-0.06829253160235116
20,19.88909092151944,5.0,24.912093020076423,-0.0091878516108303,-0.0255565960995549,-0.023459518954033958,-0.0091878516108303,-0.0054220117275181594,-0.02957526016540195
21,19.979937248361143,0.5,20.523374643689635,-0.0105372169169668,-0.0222207791320041,-0.025803787937739416,-0.0105372169169668,-0.00995278620039959,-0.02930952746342107
21,19.979937248361143,2.0,22.060584724966,-0.0105372169169668,-0.0608547347410299,-0.055685417229606196,-0.0105372169169668,-0.008469279783451139,-0.06678477885064152
21,19.979937248361143,5.0,25.003964700494222,-0.0105372169169668,-0.0246638549193047,-0.02069209931852133,-0.0105372169169668,-0.006217641011097658,-0.026004389763187995
22,20.070373433772417,0.5,20.61545139482265,-0.0127834248176579,-0.0208796166544764,-0.026628605158740777,-0.0127834248176579,-0.012072331843016463,-0.029864746889166044
22,20.070373433772417,2.0,22.153789365032715,-0.0127834248176579,-0.0570472551284768,-0.05433043121660456,-0.0127834248176579,-0.01027168132560247,-0.06476693788538905
22,20.070373433772417,5.0,25.09716934056094,-0.0127834248176579,-0.0208563753067516,-0.01753767549324708,-0.0127834248176579,-0.007540856920063554,-0.02182095441822995
23,20.161834972759777,0.5,20.704759691300215,-0.0127875262319623,-0.0255921416901929,-0.025442419097338295,-0.0127875262319623,-0.01207893573483112,-0.028408107060438233
23,20.161834972759777,2.0,22.244943297947245,-0.0127875262319623,-0.0577239884886973,-0.05031910080656332,-0.0127875262319623,-0.01027530874911284,-0.05983895447148674
23,20.161834972759777,5.0,25.189963839197222,-0.0127875262319623,-0.0179457382887533,-0.013494588754925829,-0.0127875262319623,-0.007542220628137928,-0.01671797248378468
24,20.25319397638953,0.5,20.794273058493005,-0.0130158382949054,-0.0298562454286321,-0.026153455685311647,-0.0130158382949054,-0.012296979248405723,-0.029215994325942393
24,20.25319397638953,2.0,22.336609907649823,-0.0130158382949054,-0.0572796686057244,-0.04714840508965474,-0.0130158382949054,-0.010458429181369883,-0.05591772830325417
24,20.25319397638953,5.0,25.28337354997916,-0.0130158382949054,-0.0136898373789229,-0.010296563534487307,-0.0130158382949054,-0.0076752286998069685,-0.01266172098733428
25,20.3413743839334,0.5,20.88399149640101,-0.0201946804656474,-0.0336719278697938,-0.03580740565663789,-0.0201946804656474,-0.019076256177070042,-0.039527816379704206
25,20.3413743839334,2.0,22.42930187092849,-0.0201946804656474,-0.0545932422363646,-0.05081351111057705,-0.0201946804656474,-0.016219055887549325,-0.05926900754331513
25,20.3413743839334,5.0,25.37555283646978,-0.0201946804656474,-0.0121244642527564,-0.012029933276607868,-0.0201946804656474,-0.011903476364489797,-0.01402105639553717
26,20.434373953284897,0.5,20.9712490857264,-0.0168356221503716,-0.0428686658782837,-0.035774764831201025,-0.0168356221503716,-0.015912820718226826,-0.04015329916161248
26,20.434373953284897,2.0,22.520865945273464,-0.0168356221503716,-0.0543731330020302,-0.04662782585544132,-0.0168356221503716,-0.013523316564277505,-0.05470930936877332
26,20.434373953284897,5.0,25.46814226439084,-0.0168356221503716,-0.0096622485320354,-0.008280358355358543,-0.0168356221503716,-0.009923953051686989,-0.009715273858345738
27,20.523374643689635,0.5,21.058404139694176,-0.0222207791320041,-0.0522896145354123,-0.04420083650483967,-0.0222207791320041,-0.021006874703058162,-0.049334968569468333
27,20.523374643689635,2.0,22.612737625691267,-0.0222207791320041,-0.0534803918217798,-0.04945259273649017,-0.0222207791320041,-0.01784359704540301,-0.05732516275694047
27,20.523374643689635,5.0,25.56134690445756,-0.0222207791320041,-0.0058547689194825,-0.009865353037684852,-0.0222207791320041,-0.013092515887643595,-0.01108381669168047
28,20.61545139482265,0.5,21.1483276483174,-0.0208796166544764,-0.0556568756792967,-0.04556809687708633,-0.0208796166544764,-0.01974344222104379,-0.05126694974952815
28,20.61545139482265,2.0,22.70655747790364,-0.0208796166544764,-0.0483276483173948,-0.04592595715272975,-0.0208796166544764,-0.016763556339899035,-0.05323120595066017
28,20.61545139482265,5.0,25.65229576665687,-0.0208796166544764,-0.0069799235769802,-0.0066044238291615865,-0.0208796166544764,-0.012303758002141134,-0.00713800421129531
29,20.704759691300215,0.5,21.23722580336453,-0.0255921416901929,-0.061266243309568,-0.050828234865541125,-0.0255921416901929,-0.024200575100614078,-0.05673297231681491
29,20.704759691300215,2.0,22.70655747790364,-0.0255921416901929,-0.0483276483173948,-0.047196249749729864,-0.0255921416901929,-0.020740671338542422,-0.053922784165991146
29,20.704759691300215,5.0,25.74273195206814,-0.0255921416901929,-0.0092261314776713,-0.0061633669232117536,-0.0255921416901929,-0.015078927686882456,-0.006018267135522418
30,20.794273058493005,0.5,21.325201140193187,-0.0298562454286321,-0.0688935067775873,-0.05336745431791673,-0.0298562454286321,-0.028237378993278474,-0.05898060569007962
30,20.794273058493005,2.0,22.798429158321436,-0.0298562454286321,-0.0474349071371444,-0.04681559206784498,-0.0298562454286321,-0.024190443405302887,-0.052742579625794185
30,20.794273058493005,5.0,25.834603632485937,-0.0298562454286321,-0.0083333902974209,-0.0052222080076890515,-0.0298562454286321,-0.017586988428110316,-0.004302684835042916
31,20.88399149640101,0.5,21.41563732560445,-0.0336719278697938,-0.0711397146782784,-0.053368303849035216,-0.0336719278697938,-0.03184376741326881,-0.058231327951292995
31,20.88399149640101,2.0,22.889378020520752,-0.0336719278697938,-0.0485600617946422,-0.04562242569278587,-0.0336719278697938,-0.027278501586657004,-0.050621508475651965
31,20.88399149640101,5.0,25.927090525049397,-0.0336719278697938,-0.0060953852253384,-0.004182340262147875,-0.0336719278697938,-0.0198288726724353,-0.0024701470211458032
32,20.9712490857264,0.5,21.50894450102878,-0.0428686658782837,-0.0671080244170865,-0.05821325708926412,-0.0428686658782837,-0.04051544021551256,-0.06231086162216457
32,20.9712490857264,2.0,22.98176237772659,-0.0428686658782837,-0.0465462673711987,-0.04927107762260149,-0.0428686658782837,-0.03471032747030688,-0.05355453320908594
32,20.9712490857264,5.0,26.01896220546719,-0.0428686658782837,-0.0052026440450883,-0.006142110287654815,-0.0428686658782837,-0.025232460542742287,-0.003804032862266207
33,21.058404139694176,0.5,21.599995898585703,-0.0522896145354123,-0.0680089684259455,-0.06264989798063712,-0.0522896145354123,-0.0493990227603945,-0.06584386486184705
33,21.058404139694176,2.0,23.074146734932437,-0.0522896145354123,-0.0445324729477549,-0.052927630256383175,-0.0522896145354123,-0.04231513417606262,-0.056455336177635276
33,21.058404139694176,5.0,26.11114149195781,-0.0522896145354123,-0.0036372709189218,-0.0074424692986528,-0.0522896145354123,-0.03076139068729709,-0.004306089769949999
34,21.1483276483174,0.5,21.69155997293067,-0.0556568756792967,-0.0677888591916113,-0.06092385572191371,-0.0556568756792967,-0.052571083655634475,-0.06307392314291108
34,21.1483276483174,2.0,23.164582920343705,-0.0556568756792967,-0.0467786808484458,-0.05146160473049244,-0.0556568756792967,-0.045037650544457235,-0.05405532103279431
34,21.1483276483174,5.0,26.203730919878872,-0.0556568756792967,-0.0011750551982008,-0.003829221150168769,-0.0556568756792967,-0.03273314845834443,0.0006229817708885607
